feature	ref_CI	permuted_CI	algo	model
1	full_component_t_15_17	0.60610632183908	0.60610632183908	Lasso	comp_cyto
2	full_component_t_15_17	0.60610632183908	0.60610632183908	Lasso	comp_cyto
3	full_component_t_15_17	0.60610632183908	0.60610632183908	Lasso	comp_cyto
4	full_component_t_15_17	0.60610632183908	0.60610632183908	Lasso	comp_cyto
5	full_component_inv_16	0.60610632183908	0.60014367816092	Lasso	comp_cyto
6	full_component_inv_16	0.60610632183908	0.599954284221526	Lasso	comp_cyto
7	full_component_inv_16	0.60610632183908	0.592391588296761	Lasso	comp_cyto
8	full_component_inv_16	0.60610632183908	0.5833921107628	Lasso	comp_cyto
9	full_component_t_8_21	0.60610632183908	0.591634012539185	Lasso	comp_cyto
10	full_component_t_8_21	0.60610632183908	0.595807210031348	Lasso	comp_cyto
11	full_component_t_8_21	0.60610632183908	0.585423197492163	Lasso	comp_cyto
12	full_component_t_8_21	0.60610632183908	0.591993207941484	Lasso	comp_cyto
13	full_component_t_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
14	full_component_t_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
15	full_component_t_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
16	full_component_t_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
17	full_component_t_6_9	0.60610632183908	0.60610632183908	Lasso	comp_cyto
18	full_component_t_6_9	0.60610632183908	0.60610632183908	Lasso	comp_cyto
19	full_component_t_6_9	0.60610632183908	0.60610632183908	Lasso	comp_cyto
20	full_component_t_6_9	0.60610632183908	0.60610632183908	Lasso	comp_cyto
21	full_component_inv_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
22	full_component_inv_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
23	full_component_inv_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
24	full_component_inv_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
25	full_component_additions	0.60610632183908	0.614413531870428	Lasso	comp_cyto
26	full_component_additions	0.60610632183908	0.612565308254963	Lasso	comp_cyto
27	full_component_additions	0.60610632183908	0.603513584117032	Lasso	comp_cyto
28	full_component_additions	0.60610632183908	0.608098223615465	Lasso	comp_cyto
29	full_component_TP53_complex	0.60610632183908	0.583862330198537	Lasso	comp_cyto
30	full_component_TP53_complex	0.60610632183908	0.597028474399164	Lasso	comp_cyto
31	full_component_TP53_complex	0.60610632183908	0.582863113897597	Lasso	comp_cyto
32	full_component_TP53_complex	0.60610632183908	0.590902560083595	Lasso	comp_cyto
33	full_component_NPM1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
34	full_component_NPM1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
35	full_component_NPM1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
36	full_component_NPM1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
37	full_component_CEBPA_bi	0.60610632183908	0.60610632183908	Lasso	comp_cyto
38	full_component_CEBPA_bi	0.60610632183908	0.60610632183908	Lasso	comp_cyto
39	full_component_CEBPA_bi	0.60610632183908	0.60610632183908	Lasso	comp_cyto
40	full_component_CEBPA_bi	0.60610632183908	0.60610632183908	Lasso	comp_cyto
41	full_component_DNMT3A_IDH1_2	0.60610632183908	0.60610632183908	Lasso	comp_cyto
42	full_component_DNMT3A_IDH1_2	0.60610632183908	0.60610632183908	Lasso	comp_cyto
43	full_component_DNMT3A_IDH1_2	0.60610632183908	0.60610632183908	Lasso	comp_cyto
44	full_component_DNMT3A_IDH1_2	0.60610632183908	0.60610632183908	Lasso	comp_cyto
45	full_component_WT1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
46	full_component_WT1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
47	full_component_WT1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
48	full_component_WT1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
49	full_component_chr_splicing_multiple	0.60610632183908	0.579630355276907	Lasso	comp_cyto
50	full_component_chr_splicing_multiple	0.60610632183908	0.541849529780564	Lasso	comp_cyto
51	full_component_chr_splicing_multiple	0.60610632183908	0.559717868338558	Lasso	comp_cyto
52	full_component_chr_splicing_multiple	0.60610632183908	0.560057471264368	Lasso	comp_cyto
53	full_component_chr_splicing_1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
54	full_component_chr_splicing_1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
55	full_component_chr_splicing_1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
56	full_component_chr_splicing_1	0.60610632183908	0.60610632183908	Lasso	comp_cyto
57	full_component_not_assigned	0.60610632183908	0.60610632183908	Lasso	comp_cyto
58	full_component_not_assigned	0.60610632183908	0.60610632183908	Lasso	comp_cyto
59	full_component_not_assigned	0.60610632183908	0.60610632183908	Lasso	comp_cyto
60	full_component_not_assigned	0.60610632183908	0.60610632183908	Lasso	comp_cyto
61	full_component_no_events	0.60610632183908	0.60610632183908	Lasso	comp_cyto
62	full_component_no_events	0.60610632183908	0.60610632183908	Lasso	comp_cyto
63	full_component_no_events	0.60610632183908	0.60610632183908	Lasso	comp_cyto
64	full_component_no_events	0.60610632183908	0.60610632183908	Lasso	comp_cyto
65	overlap	0.60610632183908	0.60610632183908	Lasso	comp_cyto
66	overlap	0.60610632183908	0.60610632183908	Lasso	comp_cyto
67	overlap	0.60610632183908	0.60610632183908	Lasso	comp_cyto
68	overlap	0.60610632183908	0.60610632183908	Lasso	comp_cyto
69	add_8	0.60610632183908	0.60610632183908	Lasso	comp_cyto
70	add_8	0.60610632183908	0.60610632183908	Lasso	comp_cyto
71	add_8	0.60610632183908	0.60610632183908	Lasso	comp_cyto
72	add_8	0.60610632183908	0.60610632183908	Lasso	comp_cyto
73	add_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
74	add_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
75	add_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
76	add_11	0.60610632183908	0.60610632183908	Lasso	comp_cyto
77	add_13	0.60610632183908	0.60610632183908	Lasso	comp_cyto
78	add_13	0.60610632183908	0.60610632183908	Lasso	comp_cyto
79	add_13	0.60610632183908	0.60610632183908	Lasso	comp_cyto
80	add_13	0.60610632183908	0.60610632183908	Lasso	comp_cyto
81	add_21	0.60610632183908	0.60610632183908	Lasso	comp_cyto
82	add_21	0.60610632183908	0.60610632183908	Lasso	comp_cyto
83	add_21	0.60610632183908	0.60610632183908	Lasso	comp_cyto
84	add_21	0.60610632183908	0.60610632183908	Lasso	comp_cyto
85	add_22	0.60610632183908	0.60610632183908	Lasso	comp_cyto
86	add_22	0.60610632183908	0.60610632183908	Lasso	comp_cyto
87	add_22	0.60610632183908	0.60610632183908	Lasso	comp_cyto
88	add_22	0.60610632183908	0.60610632183908	Lasso	comp_cyto
89	del_20	0.60610632183908	0.60610632183908	Lasso	comp_cyto
90	del_20	0.60610632183908	0.60610632183908	Lasso	comp_cyto
91	del_20	0.60610632183908	0.60610632183908	Lasso	comp_cyto
92	del_20	0.60610632183908	0.60610632183908	Lasso	comp_cyto
93	del_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
94	del_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
95	del_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
96	del_3	0.60610632183908	0.60610632183908	Lasso	comp_cyto
97	del_5	0.60610632183908	0.596048850574713	Lasso	comp_cyto
98	del_5	0.60610632183908	0.6051789446186	Lasso	comp_cyto
