feature	coef	n
1	ASXL1	0.371184390868006	45
2	BCOR	0.0081087616180303	4
3	CBL	0.00960686802115173	6
4	CEBPA_mono	-0.0135528506118667	4
5	DNMT3A	0.334222784137907	35
6	EZH2	0.158019311932887	37
7	FLT3_TKD	-0.0379920027798801	10
8	FLT3_other	0.00964103529526842	4
9	GATA2	-0.0370058104492271	16
10	IDH1	-0.0421689377218731	11
11	IDH2_p.R140	0.0970255770031587	18
12	IDH2_p.R172	-0.267156130123984	56
13	ITD	1.69280983495114	86
14	KIT	-0.0149865695270726	4
15	KRAS	0.183077277784476	27
16	MLL	0.0252873753023532	8
17	MYC	-0.0546364080915258	21
18	NF1	0.00681770331169363	3
19	NRAS_p.G12_13	0.0081968408444885	5
20	NRAS_p.Q61_62	0.16241156410876	35
21	PHF6	-0.0165317322111614	7
22	PTPN11	-0.0874102037507382	15
23	RAD21	-0.126999777748608	33
24	RUNX1	0.00454575001730665	1
25	SF3B1	0.155216377530866	38
26	SMC1A	0.0422695457924436	16
27	SMC3	-0.00242542292742583	3
28	SRSF2	0.761109717249125	70
29	STAG2	0.00779413669074012	5
30	TET2	2.28011310254278	98
31	TP53	4.89696586292546	100
32	U2AF1_p.S34	0.0849479734755202	33
33	WT1	0.188013042524915	32
34	add_11	0.216843457831396	42
35	add_13	0.0392185194506802	13
36	add_21	0.0121503578030955	5
37	add_22	-0.166268733043482	42
38	add_8	-0.00156771449801404	1
39	complex	0.438864655030404	42
40	del_12	0.104823548031739	28
41	del_16	0.0319652300755931	13
42	del_17	0.386835398120793	63
43	del_18	-0.0261208593983244	9
44	del_20	0.0740201959125882	22
45	del_3	0.00225575278218198	5
46	del_5	0.946919709504178	82
47	del_7	0.396493805772865	54
48	del_9	-0.00112774208728957	6
49	eln_2017_adverse	7.7784050349429	99
50	eln_2017_favorable	-3.95140036541579	93
51	full_component_CEBPA_bi	-0.0233196954901781	8
52	full_component_DNMT3A_IDH1_2	-0.00329964547657252	1
53	full_component_TP53_complex	0.292837143204014	23
54	full_component_WT1	0.198613864701163	47
55	full_component_additions	0.746524018221658	70
56	full_component_chr_splicing_1	-0.0307299018090736	6
57	full_component_chr_splicing_multiple	3.41101609889878	99
58	full_component_inv_16	-1.74487452637449	100
59	full_component_inv_3	0.223097666358573	68
60	full_component_no_events	-0.132353044488483	39
61	full_component_not_assigned	-0.0302703200075138	8
62	full_component_t_11	0.00376003289987331	5
63	full_component_t_15_17	-0.517175125124404	97
64	full_component_t_6_9	-0.000755593244872932	1
65	full_component_t_8_21	-1.60574040068396	97
66	minusy	0.0114431168311448	2
67	others_transloc	0.0427091584788768	17
68	overlap	0.180397050638926	24
69	t_v_11	0.00126113658703051	2
